ProblemSet,RavensProblem,Agent's Answer
Basic Problems C,Basic Problem C-01,3
Basic Problems C,Basic Problem C-02,2
Basic Problems C,Basic Problem C-03,4
Basic Problems C,Basic Problem C-04,8
Basic Problems C,Basic Problem C-05,3
Basic Problems C,Basic Problem C-06,7
Basic Problems C,Basic Problem C-07,-1
Basic Problems C,Basic Problem C-08,-1
Basic Problems C,Basic Problem C-09,2
Basic Problems C,Basic Problem C-10,7
Basic Problems C,Basic Problem C-11,4
Basic Problems C,Basic Problem C-12,5
Challenge Problems C,Challenge Problem C-01,6
Challenge Problems C,Challenge Problem C-02,7
Challenge Problems C,Challenge Problem C-03,3
Challenge Problems C,Challenge Problem C-04,6
Challenge Problems C,Challenge Problem C-05,2
Challenge Problems C,Challenge Problem C-06,7
Challenge Problems C,Challenge Problem C-07,3
Challenge Problems C,Challenge Problem C-08,5
Challenge Problems C,Challenge Problem C-09,7
Challenge Problems C,Challenge Problem C-10,3
Challenge Problems C,Challenge Problem C-11,4
Challenge Problems C,Challenge Problem C-12,7
